tree,green,temp
0.5,0.4,76.11830841
0.55,0.4,76.020387
0.6,0.4,75.92046051
0.65,0.4,75.81959952
0.7,0.4,75.71861633
0.75,0.4,75.61763313
0.8,0.4,75.51664993
0.85,0.4,75.41566674
0.9,0.4,75.31468354
0.95,0.4,75.21370035
1,0.4,75.11271715
0,0.45,76.66327216
0.05,0.45,76.5888381
0.1,0.45,76.51453859
0.15,0.45,76.43983626
0.2,0.45,76.36300892
0.25,0.45,76.28313043
0.3,0.45,76.20068751
0.35,0.45,76.11588834
0.4,0.45,76.02824088
0.45,0.45,75.93711676
0.5,0.45,75.84229737
0.55,0.45,75.74437596
0.6,0.45,75.64444947
0.65,0.45,75.54358848
0.7,0.45,75.44260529
0.75,0.45,75.34162209
0.8,0.45,75.2406389
0.85,0.45,75.1396557
0.9,0.45,75.03867251
0.95,0.45,74.93768931
1,0.45,74.83670612
0,0.5,76.38726113
0.05,0.5,76.31282706
0.1,0.5,76.23852755
0.15,0.5,76.16382522
0.2,0.5,76.08699788
0.25,0.5,76.00711939
0.3,0.5,75.92467647
0.35,0.5,75.8398773
0.4,0.5,75.75222984
0.45,0.5,75.66110572
0.5,0.5,75.56628633
0.55,0.5,75.46836493
0.6,0.5,75.36843843
0.65,0.5,75.26757745
0.7,0.5,75.16659425
0.75,0.5,75.06561105
0.8,0.5,74.96462786
0.85,0.5,74.86364466
0.9,0.5,74.76266147
0.95,0.5,74.66167827
1,0.5,74.56069508
0,0.55,76.11125009
0.05,0.55,76.03681602
0.1,0.55,75.96251651
0.15,0.55,75.88781419
0.2,0.55,75.81098684
0.25,0.55,75.73110835
0.3,0.55,75.64866544
0.35,0.55,75.56386626
0.4,0.55,75.47621881
0.45,0.55,75.38509468
0.5,0.55,75.29027529
0.55,0.55,75.19235389
0.6,0.55,75.0924274
0.65,0.55,74.99156641
0.7,0.55,74.89058321
0.75,0.55,74.78960002
0.8,0.55,74.68861682
0.85,0.55,74.58763363
0.9,0.55,74.48665043
0.95,0.55,74.38566724
1,0.55,74.28468404
0,0.6,75.83523905
0.05,0.6,75.76080499
0.1,0.6,75.68650547
0.15,0.6,75.61180315
0.2,0.6,75.53497581
0.25,0.6,75.45509731
0.3,0.6,75.3726544
0.35,0.6,75.28785522
0.4,0.6,75.20020777
0.45,0.6,75.10908364
0.5,0.6,75.01426426
0.55,0.6,74.91634285
0.6,0.6,74.81641636
0.65,0.6,74.71555537
0.7,0.6,74.61457217
0.75,0.6,74.51358898
0.8,0.6,74.41260578
0.85,0.6,74.31162259
0.9,0.6,74.21063939
0.95,0.6,74.1096562
